Rank,WinRate,Games,KDA,AVG_kills,AVG_deaths,AVG_assists,Creep_Score,Damage,Gold,Multi_Kill
Challenger,49,73,1.95,4.9,5.5,5.8,173.3,18508,10699,31
Master,57,467,2.4,7.0,5.6,6.3,165.1,19428,11292,307
Master,59,137,3.22,6.1,5.4,11.2,144.2,14545,10410,74
Unranked,59,336,3.32,6.2,4.4,8.3,204.5,25541,12106,218
Master,70,60,3.76,7.5,4.8,10.5,180.6,17490,11957,47
Unranked,63,180,3.21,9.7,4.7,5.5,156.8,20168,11378,423
Master,59,126,3.57,7.0,4.7,9.8,181.0,20123,11770,124
Master,53,281,4.13,2.2,4.0,14.5,10.9,7484,7582,12
Master,55,327,3.62,1.8,4.4,14.0,17.6,7225,7573,25
Challenger,52,199,2.97,4.9,4.9,9.7,38.9,8151,9575,108
Challenger,71,31,3.9,8.8,4.4,8.2,144.8,16834,11696,30
Challenger,66,64,3.12,9.1,5.5,7.9,196.9,29241,12542,101
Challenger,60,269,4.21,1.6,3.7,13.9,17.4,5846,7292,19
Challenger,58,137,5.68,10.7,3.0,6.5,182.7,24476,12755,169
Challenger,62,167,2.59,6.6,4.5,5.0,199.0,15760,11440,224
Master,49,92,2.92,1.9,5.1,13.1,26.5,8616,7504,5
Master,55,192,2.67,5.3,4.3,6.2,161.9,16253,10194,71
Master,59,94,3.3,11.9,5.5,6.4,175.2,27148,12800,130
Master,70,33,2.24,4.9,4.2,4.5,177.8,13595,11011,9
Master,60,211,2.76,7.9,5.7,7.9,143.1,15770,11052,182
Master,66,32,3.82,1.9,4.9,16.8,28.9,6705,7329,2
Master,51,177,2.67,7.7,5.1,5.9,204.9,20888,12278,225
Master,59,599,3.05,12.4,6.1,6.1,120.9,18300,14552,1272
Master,58,50,2.93,4.9,6.6,14.5,41.5,18715,10466,17
Master,63,303,2.47,7.0,5.0,5.3,180.9,17227,11471,345
Master,65,121,3.55,6.8,5.4,12.5,137.4,17180,10872,69
Master,55,453,4.33,2.2,4.2,16.0,9.4,9505,7862,39
Master,57,60,3.28,10.1,5.1,6.7,161.2,19585,12337,68
Master,63,216,2.22,8.1,5.6,4.4,217.1,21458,12745,223
Master,54,357,2.13,7.3,5.8,5.0,204.2,17561,12235,360
Master,69,58,3.07,9.2,5.3,6.9,158.6,20230,11604,63
Master,74,31,3.34,7.9,4.8,8.2,169.8,19196,11440,27
Master,50,44,3.12,8.5,4.2,4.6,175.5,19243,11446,65
Unranked,61,102,2.29,8.1,5.6,4.8,188.9,21454,12615,85
